B/C row-gated bridge source verifier
group=mid degree=32/47 states=1573907 b_cap=17 c_cap=16
group=mid degree=33/47 states=2073067 b_cap=17 c_cap=16
group=mid degree=34/47 states=2715769 b_cap=17 c_cap=16
group=mid degree=35/47 states=3539049 b_cap=17 c_cap=16
group=mid degree=36/47 states=4588436 b_cap=17 c_cap=16
group=mid degree=37/47 states=5919558 b_cap=17 c_cap=16
group=mid degree=38/47 states=7600254 b_cap=17 c_cap=16
group=mid degree=39/47 states=9712728 b_cap=17 c_cap=16
group=mid degree=40/47 states=12356353 b_cap=17 c_cap=16
group=mid degree=41/47 states=15650719 b_cap=17 c_cap=16
group=mid degree=42/47 states=19739315 b_cap=17 c_cap=16
group=mid degree=43/47 states=24793563 b_cap=17 c_cap=16
group=mid degree=44/47 states=13918069 b_cap=13 c_cap=12
group=mid degree=45/47 states=16742319 b_cap=13 c_cap=12
group=mid degree=46/47 states=8910227 b_cap=11 c_cap=10
group=mid degree=47/47 states=10446807 b_cap=11 c_cap=10
correction_window rank=5 degrees=12..47 B_first=-4213 C_first=-10395 B_last=-16420600531593512898087205222044890846515188644136750681416 C_last=-16442182261281738906844450028151000716672446866429861268526
correction_window rank=6 degrees=14..45 B_first=-30537 C_first=-135135 B_last=-6207155828679978261009404997146298472582408794974256332 C_last=-6509659371838086026766452905424089852585224242698194712
correction_window rank=7 degrees=16..43 B_first=-227475 C_first=-2027025 B_last=-1102211935861129732039033681526463311798043097269786 C_last=-1460356575072893262007400589048797554804786184440122
correction_window rank=8 degrees=18..43 B_first=-1730787 C_first=-34459425 B_last=-190865942048245133423022339232112451219626602270576 C_last=-387622919668625730271311953310781977722674881194340
group_summary name=mid ranks=5..8 peak_states=24793563 status=PASS
group=high prime_count=3 modulus_bits=184 max_degree=41
group=high degree=1/41 states=1 b_cap=39 c_cap=38
group=high degree=2/41 states=3 b_cap=39 c_cap=38
group=high degree=3/41 states=7 b_cap=39 c_cap=38
group=high degree=4/41 states=15 b_cap=39 c_cap=38
group=high degree=5/41 states=30 b_cap=39 c_cap=38
group=high degree=6/41 states=58 b_cap=39 c_cap=38
group=high degree=7/41 states=105 b_cap=39 c_cap=38
group=high degree=8/41 states=186 b_cap=39 c_cap=38
group=high degree=9/41 states=318 b_cap=39 c_cap=38
group=high degree=10/41 states=530 b_cap=39 c_cap=38
group=high degree=11/41 states=863 b_cap=39 c_cap=38
group=high degree=12/41 states=1380 b_cap=39 c_cap=38
group=high degree=13/41 states=2164 b_cap=39 c_cap=38
group=high degree=14/41 states=3345 b_cap=39 c_cap=38
group=high degree=15/41 states=5096 b_cap=39 c_cap=38
group=high degree=16/41 states=7665 b_cap=39 c_cap=38
group=high degree=17/41 states=11395 b_cap=39 c_cap=38
group=high degree=18/41 states=16765 b_cap=39 c_cap=38
group=high degree=19/41 states=24418 b_cap=39 c_cap=38
group=high degree=20/41 states=35251 b_cap=39 c_cap=38
group=high degree=21/41 states=50460 b_cap=39 c_cap=38
group=high degree=22/41 states=71669 b_cap=39 c_cap=38
group=high degree=23/41 states=101050 b_cap=39 c_cap=38
group=high degree=24/41 states=141510 b_cap=39 c_cap=38
group=high degree=25/41 states=196888 b_cap=39 c_cap=38
group=high degree=26/41 states=272293 b_cap=39 c_cap=38
group=high degree=27/41 states=374423 b_cap=39 c_cap=38
group=high degree=28/41 states=512081 b_cap=39 c_cap=38
group=high degree=29/41 states=696760 b_cap=39 c_cap=38
group=high degree=30/41 states=943442 b_cap=39 c_cap=38
group=high degree=31/41 states=1271527 b_cap=39 c_cap=38
group=high degree=32/41 states=1706159 b_cap=39 c_cap=38
group=high degree=33/41 states=2279700 b_cap=39 c_cap=38
group=high degree=34/41 states=3033772 b_cap=39 c_cap=38
group=high degree=35/41 states=4021695 b_cap=39 c_cap=38
group=high degree=36/41 states=5311627 b_cap=39 c_cap=38
group=high degree=37/41 states=6990367 b_cap=39 c_cap=38
group=high degree=38/41 states=9168321 b_cap=39 c_cap=38
group=high degree=39/41 states=11985378 b_cap=39 c_cap=38
group=high degree=40/41 states=15618500 b_cap=39 c_cap=38
group=high degree=41/41 states=20290924 b_cap=39 c_cap=38
correction_window rank=9 degrees=20..41 B_first=-13393689 C_first=-654729075 B_last=-4681763612369356905320554484485353022994325560 C_last=-21108301602200310629070423322950841460218323344
correction_window rank=10 degrees=22..41 B_first=-105089229 C_first=-13749310575 B_last=-169641269373625807217746830807893717898801320 C_last=-1879116825373320089897666785033391834462044400
correction_window rank=11 degrees=24..41 B_first=-834086421 C_first=-316234143225 B_last=-3369921819807900571900084354562430291198640 C_last=-109885302328012095667558244187935356624443550
correction_window rank=12 degrees=26..41 B_first=-6684761125 C_first=-7905853580625 B_last=-37946989007677935440679956359376520933840 C_last=-4269324422429816194057701434133220820239080
correction_window rank=13 degrees=28..41 B_first=-54022715451 C_first=-213458046676875 B_last=-246052787235181249812106434975953951820 C_last=-109867478772952717873129929934087142482810
correction_window rank=14 degrees=30..41 B_first=-439742222071 C_first=-6190283353629375 B_last=-917406516916434909318039084336626480 C_last=-1840502197304924904662094044412080660616
correction_window rank=15 degrees=32..41 B_first=-3602118427251 C_first=-191898783962510625 B_last=-1926342911785452502271099095125800 C_last=-19389351708011679252354115271407165700
correction_window rank=16 degrees=34..41 B_first=-29671013856627 C_first=-6332659870762850625 B_last=-2172791683567379592235980926420 C_last=-121053276068452153496514002390431460
correction_window rank=17 degrees=36..41 B_first=-245613376802185 C_first=-221643095476699771875 B_last=-1202187986972745554253568240 C_last=-404535679684005656946497552673890
correction_window rank=18 degrees=38..41 B_first=-2042162142208813 C_first=-8200794532637891559375 B_last=-272449050215084058121644 C_last=-597956012870572280316893078020
correction_window rank=19 degrees=40..41 B_first=-17047255430494497 C_first=-319830986772877770815625 B_last=-16285735939376438620 C_last=-249148338696071783465371876
group_summary name=high ranks=9..19 peak_states=20290924 status=PASS
generated_correction_entries=832 correction_checksum=-261331786864494218436716518069236670564813132374707514373198565290872205444985487243570427
step family=B rank=2 m=1 mode=exact margin=1046
step family=B rank=2 m=2 mode=exact margin=44688
step family=B rank=2 m=3 mode=exact margin=2362460
step family=B rank=2 m=4 mode=exact margin=150021332
step family=B rank=2 m=5 mode=exact margin=11286766950
step family=B rank=2 m=6 mode=exact margin=999755933080
step family=B rank=2 m=7 mode=exact margin=103530524131496
step family=B rank=2 m=8 mode=exact margin=12372331502554752
step family=B rank=2 m=9 mode=exact margin=1674485064858347596
step family=B rank=2 m=10 mode=exact margin=251386059341262331520
