B/C residual exact complement-frontier GMP verifier
VERIFIES exact frontier for window_bound(q) * M_K < 2^(2q)
where M_K=sum_{d=0}^K (d+1)*s_d and s_{n+1}=n*s_n+n*s_{n-1}-binom(n,2)*s_{n-2}
window_bound(q) is the residual j-q bound from cor:post29-bc-window-size-strata, with 30899-q for q>=29
host=optimus
q_min=15 q_max=218 k_cap=218 OpenMP threads=64
stable_progress index=10/218
stable_progress index=20/218
stable_progress index=30/218
stable_progress index=40/218
stable_progress index=50/218
stable_progress index=60/218
stable_progress index=70/218
stable_progress index=80/218
stable_progress index=90/218
stable_progress index=100/218
stable_progress index=110/218
stable_progress index=120/218
stable_progress index=130/218
stable_progress index=140/218
stable_progress index=150/218
stable_progress index=160/218
stable_progress index=170/218
stable_progress index=180/218
stable_progress index=190/218
stable_progress index=200/218
stable_progress index=210/218
stable_progress index=218/218
progress completed=25/204 last_q=61 failures=0
progress completed=50/204 last_q=117 failures=0
progress completed=75/204 last_q=152 failures=0
progress completed=100/204 last_q=176 failures=0
progress completed=125/204 last_q=197 failures=0
progress completed=150/204 last_q=21 failures=0
progress completed=175/204 last_q=35 failures=0
progress completed=200/204 last_q=128 failures=0
progress completed=204/204 last_q=134 failures=0
frontier q=40 window_bound=30859 K=20 lhs_bits=78 rhs_bits=81 margin_bits=80 log10_lhs_over_rhs=-0.873017606620614117 next_K=21 next_log10_lhs_over_rhs=0.457870459623002546 status=OK
frontier q=41 window_bound=30858 K=21 lhs_bits=82 rhs_bits=83 margin_bits=81 log10_lhs_over_rhs=-0.144203605444186422 next_K=22 next_log10_lhs_over_rhs=1.20657025825667574 status=OK
frontier q=42 window_bound=30857 K=21 lhs_bits=82 rhs_bits=85 margin_bits=84 log10_lhs_over_rhs=-0.746277670967465667 next_K=22 next_log10_lhs_over_rhs=0.604496192733396498 status=OK
frontier q=43 window_bound=30856 K=21 lhs_bits=82 rhs_bits=87 margin_bits=86 log10_lhs_over_rhs=-1.34835173694686006 next_K=22 next_log10_lhs_over_rhs=0.00242212675400210742 status=OK
frontier q=44 window_bound=30855 K=22 lhs_bits=87 rhs_bits=89 margin_bits=88 log10_lhs_over_rhs=-0.599651939681539403 next_K=23 next_log10_lhs_over_rhs=0.770130348502824802 status=OK
frontier q=45 window_bound=30854 K=22 lhs_bits=87 rhs_bits=91 margin_bits=90 log10_lhs_over_rhs=-1.20172600657326001 next_K=23 next_log10_lhs_over_rhs=0.16805628161110775 status=OK
frontier q=46 window_bound=30853 K=23 lhs_bits=91 rhs_bits=93 margin_bits=92 log10_lhs_over_rhs=-0.434017785736820372 next_K=24 next_log10_lhs_over_rhs=0.95397029527417132 status=OK
frontier q=47 window_bound=30852 K=23 lhs_bits=91 rhs_bits=95 margin_bits=94 log10_lhs_over_rhs=-1.03609185354098088 next_K=24 next_log10_lhs_over_rhs=0.351896227470007261 status=OK
frontier q=48 window_bound=30851 K=24 lhs_bits=96 rhs_bits=97 margin_bits=95 log10_lhs_over_rhs=-0.250177840790417605 next_K=25 next_log10_lhs_over_rhs=1.15527890683053869 status=OK
frontier q=49 window_bound=30850 K=24 lhs_bits=96 rhs_bits=99 margin_bits=98 log10_lhs_over_rhs=-0.852251909507138805 next_K=25 next_log10_lhs_over_rhs=0.553204838113817488 status=OK
