TIGHT_OMEGA_PACKED_CERT max_m=8 partitions=43820 threads=32
merge m=2 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=2 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=2 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=2 r=2 merged_local_states=22/22 elapsed=0.00s
LEVEL m=2 r=2 states=22 total_paths=22 max_fiber=1 elapsed=0.00s
RESULT m=2 states=22 total_paths=22 max_omega=1 pow2=4 passes_pow2=yes
BEST m=2 partition=5,1,1,1 strips=(1,3);(2,1)|(1,5);(4,1)
progress m=3 r=1 processed=1/1 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=3 r=1 merged_local_states=3/3 elapsed=0.00s
LEVEL m=3 r=1 states=3 total_paths=3 max_fiber=1 elapsed=0.00s
progress m=3 r=2 processed=1/3 elapsed=0.00s
progress m=3 r=2 processed=2/3 elapsed=0.00s
progress m=3 r=2 processed=3/3 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=3 r=2 merged_local_states=22/22 elapsed=0.00s
LEVEL m=3 r=2 states=22 total_paths=22 max_fiber=1 elapsed=0.00s
progress m=3 r=3 processed=1/22 elapsed=0.00s
progress m=3 r=3 processed=2/22 elapsed=0.00s
progress m=3 r=3 processed=3/22 elapsed=0.00s
progress m=3 r=3 processed=4/22 elapsed=0.00s
progress m=3 r=3 processed=5/22 elapsed=0.00s
progress m=3 r=3 processed=6/22 elapsed=0.00s
progress m=3 r=3 processed=7/22 elapsed=0.00s
progress m=3 r=3 processed=8/22 elapsed=0.00s
