COMMAND: ./verify_character_ring_moment_sources_gmp B16 39 --stable-moments /home/yang/q3/ginibre_q3/references/oeis_A002137_stable.txt /home/yang/q3/ginibre_q3/certificates/post_m29/m30_BC13_18_pair_range_exact39.log
power=1 support=1 elapsed_seconds=7.984e-05
power=2 support=6 elapsed_seconds=7.2326e-05
power=3 support=14 elapsed_seconds=0.000402217
power=4 support=32 elapsed_seconds=0.000939499
power=5 support=66 elapsed_seconds=0.00150785
power=6 support=132 elapsed_seconds=0.00242596
power=7 support=248 elapsed_seconds=0.00536264
power=8 support=453 elapsed_seconds=0.00824223
power=9 support=797 elapsed_seconds=0.0163611
power=10 support=1368 elapsed_seconds=0.0291943
power=11 support=2287 elapsed_seconds=0.052072
power=12 support=3750 elapsed_seconds=0.090514
power=13 support=6026 elapsed_seconds=0.146263
power=14 support=9531 elapsed_seconds=0.239185
power=15 support=14840 elapsed_seconds=0.380019
power=16 support=22800 elapsed_seconds=0.629898
power=17 support=34566 elapsed_seconds=0.961633
power=18 support=51788 elapsed_seconds=1.51057
power=19 support=76693 elapsed_seconds=2.38098
power=20 support=112375 elapsed_seconds=3.46645
root_datum=B_16 rank=16 roots=512 maximum_coordinate=20
SUMMARY group=B_16 moments=40 source_values=6 failures=0 ignored_determinant_components=0 stable_recurrence_values_checked=101
