B/C interval stable-envelope bridge frontier GMP verifier
b_rank_lo=14 b_rank_hi=217 c_rank_lo=20 c_rank_hi=217 include_b=1 include_c=1 chain_lo=31 chain_hi=15447 max_index=30899 lambda=1/2 fixed_frontier=30 central_logconvex_bound=1 onset_log=../certificates/post_m29/bc_interval_formula_mpfr_certificate.log OpenMP threads=4
SIGN_MODEL corrections_delta<=0 active from boundary=2*rank+2; frontier lower bound uses |delta_j|<=lambda*s_j with a separable positive-linear majorant and a log-convex central penalty majorant
stable_moments_start max_index=30899
stable_moments_done max_index=30899
normalized_logconvexity_dyadic_audit prefix_bits=192 prefix_certified=30890 exact_fallbacks=0
central_logconvex_bound_audit_done first_index=9 last_index=30898 crosscheck_max_n=128
algebraic_reduction_crosscheck_done max_n=128
worst_positive	m	odd_n	frontier_boundary	frontier_rank	active_rows	lower_log10	stable_log10	relative_log10
worst_positive	15447	30897	30	14	1	125316.249635486369	125317.653458045548	-1.40382255917938892
sample	m	odd_n	frontier_boundary	frontier_rank	active_rows	lower_sign	lower_log10	stable_log10	positive_linear_upper_log10	negative_quadratic_log10	uniform_lambda_log10	relative_log10
sample	31	65	30	14	402	1	93.7412150366450589	94.0436732489011149	94.0447548574398269	91.2421044363278355	-0.00176242650857716399	-0.302458212256055958
sample	1572	3147	30	14	280	1	9648.87022556631018	9649.78239530812789	9650.02671447383727	9644.49085318630932	-0.244319886158336885	-0.912169741817706381
sample	3113	6229	30	14	222	1	20938.5205997568155	20939.5786286995099	20939.8398949002149	20933.8365038504198	-0.261266436820733361	-1.05802894269436365
sample	4654	9311	30	14	178	1	32920.2679167528622	32921.4124237343276	32921.6811439840603	32915.4054555425319	-0.268720373715041205	-1.14450698146538343
sample	6195	12393	30	14	141	1	45353.4319991375087	45354.6381887214084	45354.9113275429918	45348.4429713588106	-0.273138900338381063	-1.20618958389968611
sample	7736	15475	30	14	110	1	58122.9282246230287	58124.1823962002163	58124.458537712293	58117.8410968179887	-0.27614156756317243	-1.25417157718766248
sample	9277	18557	30	14	80	1	71160.7547532216995	71162.0481996815361	71162.326550417507	71155.5875078827667	-0.278350777691230178	-1.29344645983655937
sample	10818	21639	30	14	54	1	84421.8915670487622	84423.2182611792086	84423.4983243805618	84416.6565917861735	-0.280063234153203666	-1.3266941304464126
sample	12359	24721	30	14	28	1	97874.2996656698379	97875.6551863740315	97875.9366269277671	97869.0060730986443	-0.281440580394701101	-1.35552070419362281
sample	13900	27803	30	14	11	1	111494.001159157851	111495.382124304611	111495.664703622126	111488.655878112724	-0.282579339705989696	-1.3809651467599906
sample	15441	30885	30	14	1	1	125262.371314320335	125263.775052717639	125264.058593855792	125256.979822913112	-0.283541157012223266	-1.40373839730455074
SUMMARY failures=0 worst_m=15447 worst_odd_n=30897 worst_frontier_boundary=30 worst_frontier_rank=14 worst_relative_log10=-1.40382255917938892 worst_lower_log10=125316.249635486369 min_uniform_lambda_m=15447 min_uniform_lambda_odd_n=30897 min_uniform_lambda_frontier_boundary=30 min_uniform_lambda_rank=14 min_uniform_lambda_log10=-0.283544614983838983
__EXIT_STATUS=0
